no_id,office_id,member_id,managed_entity_id,electric_date,electric_usage
1,OFF001,user001,ME001,2023-06-01,1.785546463
2,OFF001,user002,ME001,2023-06-01,1.058312187
3,OFF001,user003,ME001,2023-06-01,1.899829049
4,OFF001,user004,ME001,2023-06-01,1.016627795
5,OFF001,user005,ME001,2023-06-01,1.246473953
6,OFF001,user006,ME001,2023-06-01,1.545580047
7,OFF001,user007,ME001,2023-06-01,1.650462191
8,OFF001,user008,ME001,2023-06-01,1.801432074
9,OFF001,user009,ME001,2023-06-01,1.370358282
10,OFF001,user010,ME001,2023-06-01,1.250717701
11,OFF001,user011,ME001,2023-06-01,1.661363496
12,OFF001,user012,ME001,2023-06-01,1.464183621
13,OFF001,user013,ME001,2023-06-01,1.339403186
14,OFF001,user014,ME001,2023-06-01,1.239566425
15,OFF001,user015,ME001,2023-06-01,1.21803511
16,OFF001,user016,ME001,2023-06-01,1.533620415
17,OFF001,user017,ME001,2023-06-01,1.561619145
18,OFF001,user018,ME001,2023-06-01,1.516565177
19,OFF001,user019,ME001,2023-06-01,1.520331831
20,OFF001,user020,ME001,2023-06-01,1.167224435
21,OFF001,user021,ME001,2023-06-01,1.42601678
22,OFF001,user022,ME001,2023-06-01,1.621870297
23,OFF001,user023,ME001,2023-06-01,1.524743079
24,OFF001,user024,ME001,2023-06-01,1.127089444
25,OFF001,user025,ME001,2023-06-01,1.369025012
26,OFF001,user026,ME001,2023-06-01,1.794299068
27,OFF001,user027,ME001,2023-06-01,1.111550853
28,OFF001,user028,ME001,2023-06-01,1.118355394
29,OFF001,user029,ME001,2023-06-01,1.556704857
30,OFF001,user030,ME001,2023-06-01,1.72603864
31,OFF001,user031,ME001,2023-06-01,1.601628699
32,OFF001,user032,ME001,2023-06-01,1.932308043
33,OFF001,user033,ME001,2023-06-01,1.937502298
34,OFF001,user034,ME001,2023-06-01,1.860642779
35,OFF001,user035,ME001,2023-06-01,1.349662901
36,OFF001,user036,ME001,2023-06-01,1.241255641
37,OFF001,user037,ME001,2023-06-01,1.828951934
38,OFF001,user038,ME001,2023-06-01,1.156899955
39,OFF001,user039,ME001,2023-06-01,1.772123072
40,OFF001,user040,ME001,2023-06-01,1.239337876
41,OFF001,user041,ME001,2023-06-01,1.748114725
42,OFF001,user042,ME001,2023-06-01,1.169098761
43,OFF001,user043,ME001,2023-06-01,1.306202771
44,OFF001,user044,ME001,2023-06-01,1.768759638
45,OFF001,user045,ME001,2023-06-01,1.112001998
46,OFF001,user046,ME001,2023-06-01,1.889236949
47,OFF001,user047,ME001,2023-06-01,1.330750791
48,OFF001,user048,ME001,2023-06-01,1.951754836
49,OFF001,user049,ME001,2023-06-01,1.816655166
