office_id,member_id,managed_entity_id,water_date,water_usage
OFF001,user001,ME001,2023-06-01,342
OFF001,user002,ME001,2023-06-01,228
OFF001,user003,ME001,2023-06-01,175
OFF001,user004,ME001,2023-06-01,50
OFF001,user005,ME001,2023-06-01,377
OFF001,user006,ME001,2023-06-01,245
OFF001,user007,ME001,2023-06-01,63
OFF001,user008,ME001,2023-06-01,238
OFF001,user009,ME001,2023-06-01,70
OFF001,user010,ME001,2023-06-01,245
OFF001,user011,ME001,2023-06-01,406
OFF001,user012,ME001,2023-06-01,18
OFF001,user013,ME001,2023-06-01,215
OFF001,user014,ME001,2023-06-01,174
OFF001,user015,ME001,2023-06-01,47
OFF001,user016,ME001,2023-06-01,61
OFF001,user017,ME001,2023-06-01,115
OFF001,user018,ME001,2023-06-01,319
OFF001,user019,ME001,2023-06-01,237
OFF001,user020,ME001,2023-06-01,119
OFF001,user021,ME001,2023-06-01,285
OFF001,user022,ME001,2023-06-01,176
OFF001,user023,ME001,2023-06-01,276
OFF001,user024,ME001,2023-06-01,404
OFF001,user025,ME001,2023-06-01,301
OFF001,user026,ME001,2023-06-01,343
OFF001,user027,ME001,2023-06-01,98
OFF001,user028,ME001,2023-06-01,404
OFF001,user029,ME001,2023-06-01,248
OFF001,user030,ME001,2023-06-01,278
OFF001,user031,ME001,2023-06-01,70
OFF001,user032,ME001,2023-06-01,230
OFF001,user033,ME001,2023-06-01,141
OFF001,user034,ME001,2023-06-01,105
OFF001,user035,ME001,2023-06-01,105
OFF001,user036,ME001,2023-06-01,10
OFF001,user037,ME001,2023-06-01,146
OFF001,user038,ME001,2023-06-01,272
OFF001,user039,ME001,2023-06-01,37
OFF001,user040,ME001,2023-06-01,320
OFF001,user041,ME001,2023-06-01,205
OFF001,user042,ME001,2023-06-01,189
OFF001,user043,ME001,2023-06-01,152
OFF001,user044,ME001,2023-06-01,31
OFF001,user045,ME001,2023-06-01,86
OFF001,user046,ME001,2023-06-01,183
OFF001,user047,ME001,2023-06-01,65
OFF001,user048,ME001,2023-06-01,329
OFF001,user049,ME001,2023-06-01,305
OFF001,user050,ME001,2023-06-01,282
OFF001,user051,ME001,2023-06-01,45
OFF001,user052,ME001,2023-06-01,171
OFF001,user053,ME001,2023-06-01,423
OFF001,user054,ME001,2023-06-01,28
OFF001,user055,ME001,2023-06-01,352
OFF001,user056,ME001,2023-06-01,304
OFF001,user057,ME001,2023-06-01,43
OFF001,user058,ME001,2023-06-01,165
OFF001,user059,ME001,2023-06-01,359
OFF001,user060,ME001,2023-06-01,22
OFF001,user061,ME001,2023-06-01,318
OFF001,user062,ME001,2023-06-01,290
OFF001,user063,ME001,2023-06-01,147
OFF001,user064,ME001,2023-06-01,87
OFF001,user065,ME001,2023-06-01,18
OFF001,user066,ME001,2023-06-01,330
OFF001,user067,ME001,2023-06-01,178
OFF001,user068,ME001,2023-06-01,430
OFF001,user069,ME001,2023-06-01,427
OFF001,user070,ME001,2023-06-01,0
OFF001,user071,ME001,2023-06-01,241
OFF001,user072,ME001,2023-06-01,60
OFF001,user073,ME001,2023-06-01,51
OFF001,user074,ME001,2023-06-01,130
OFF001,user075,ME001,2023-06-01,308
OFF001,user076,ME001,2023-06-01,299
OFF001,user077,ME001,2023-06-01,199
OFF001,user078,ME001,2023-06-01,102
OFF001,user079,ME001,2023-06-01,59
OFF001,user080,ME001,2023-06-01,418
OFF001,user081,ME001,2023-06-01,177
OFF001,user082,ME001,2023-06-01,409
OFF001,user083,ME001,2023-06-01,87
OFF001,user084,ME001,2023-06-01,336
OFF001,user085,ME001,2023-06-01,252
OFF001,user086,ME001,2023-06-01,182
OFF001,user087,ME001,2023-06-01,102
OFF001,user088,ME001,2023-06-01,105
OFF001,user089,ME001,2023-06-01,421
OFF001,user090,ME001,2023-06-01,80
OFF001,user091,ME001,2023-06-01,57
OFF001,user092,ME001,2023-06-01,415
OFF001,user093,ME001,2023-06-01,419
OFF001,user094,ME001,2023-06-01,10
OFF001,user095,ME001,2023-06-01,191
OFF001,user096,ME001,2023-06-01,437
OFF001,user097,ME001,2023-06-01,254
OFF001,user098,ME001,2023-06-01,382
OFF001,user099,ME001,2023-06-01,30
OFF001,user100,ME001,2023-06-01,303
OFF001,user001,ME001,2023-06-01,257
OFF001,user002,ME001,2023-06-01,151
OFF001,user003,ME001,2023-06-01,194
OFF001,user004,ME001,2023-06-01,11
OFF001,user005,ME001,2023-06-01,359
OFF001,user006,ME001,2023-06-01,342
OFF001,user007,ME001,2023-06-01,378
OFF001,user008,ME001,2023-06-01,157
OFF001,user009,ME001,2023-06-01,50
OFF001,user010,ME001,2023-06-01,366
OFF001,user011,ME001,2023-06-01,23
OFF001,user012,ME001,2023-06-01,130
OFF001,user013,ME001,2023-06-01,345
OFF001,user014,ME001,2023-06-01,368
OFF001,user015,ME001,2023-06-01,348
OFF001,user016,ME001,2023-06-01,172
OFF001,user017,ME001,2023-06-01,49
OFF001,user018,ME001,2023-06-01,7
OFF001,user019,ME001,2023-06-01,121
OFF001,user020,ME001,2023-06-01,216
OFF001,user021,ME001,2023-06-01,368
OFF001,user022,ME001,2023-06-01,48
OFF001,user023,ME001,2023-06-01,36
OFF001,user024,ME001,2023-06-01,77
OFF001,user025,ME001,2023-06-01,96
OFF001,user026,ME001,2023-06-01,244
OFF001,user027,ME001,2023-06-01,94
OFF001,user028,ME001,2023-06-01,170
OFF001,user029,ME001,2023-06-01,386
OFF001,user030,ME001,2023-06-01,295
OFF001,user031,ME001,2023-06-01,143
OFF001,user032,ME001,2023-06-01,404
OFF001,user033,ME001,2023-06-01,0
OFF001,user034,ME001,2023-06-01,204
OFF001,user035,ME001,2023-06-01,17
OFF001,user036,ME001,2023-06-01,181
OFF001,user037,ME001,2023-06-01,176
OFF001,user038,ME001,2023-06-01,120
OFF001,user039,ME001,2023-06-01,226
OFF001,user040,ME001,2023-06-01,114
OFF001,user041,ME001,2023-06-01,74
OFF001,user042,ME001,2023-06-01,176
OFF001,user043,ME001,2023-06-01,42
OFF001,user044,ME001,2023-06-01,150
OFF001,user045,ME001,2023-06-01,191
OFF001,user046,ME001,2023-06-01,113
OFF001,user047,ME001,2023-06-01,75
OFF001,user048,ME001,2023-06-01,133
OFF001,user049,ME001,2023-06-01,323
OFF001,user050,ME001,2023-06-01,115
OFF001,user051,ME001,2023-06-01,243
OFF001,user052,ME001,2023-06-01,150
OFF001,user053,ME001,2023-06-01,214
OFF001,user054,ME001,2023-06-01,356
OFF001,user055,ME001,2023-06-01,2
OFF001,user056,ME001,2023-06-01,381
OFF001,user057,ME001,2023-06-01,172
OFF001,user058,ME001,2023-06-01,265
OFF001,user059,ME001,2023-06-01,43
OFF001,user060,ME001,2023-06-01,326
OFF001,user061,ME001,2023-06-01,263
OFF001,user062,ME001,2023-06-01,417
OFF001,user063,ME001,2023-06-01,166
OFF001,user064,ME001,2023-06-01,45
OFF001,user065,ME001,2023-06-01,120
OFF001,user066,ME001,2023-06-01,172
OFF001,user067,ME001,2023-06-01,334
OFF001,user068,ME001,2023-06-01,123
OFF001,user069,ME001,2023-06-01,191
OFF001,user070,ME001,2023-06-01,120
OFF001,user071,ME001,2023-06-01,231
OFF001,user072,ME001,2023-06-01,413
OFF001,user073,ME001,2023-06-01,159
OFF001,user074,ME001,2023-06-01,40
OFF001,user075,ME001,2023-06-01,284
OFF001,user076,ME001,2023-06-01,181
OFF001,user077,ME001,2023-06-01,326
OFF001,user078,ME001,2023-06-01,303
OFF001,user079,ME001,2023-06-01,278
OFF001,user080,ME001,2023-06-01,280
OFF001,user081,ME001,2023-06-01,70
OFF001,user082,ME001,2023-06-01,97
OFF001,user083,ME001,2023-06-01,256
OFF001,user084,ME001,2023-06-01,332
OFF001,user085,ME001,2023-06-01,307
OFF001,user086,ME001,2023-06-01,402
OFF001,user087,ME001,2023-06-01,36
OFF001,user088,ME001,2023-06-01,357
OFF001,user089,ME001,2023-06-01,277
OFF001,user090,ME001,2023-06-01,414
OFF001,user091,ME001,2023-06-01,305
OFF001,user092,ME001,2023-06-01,355
OFF001,user093,ME001,2023-06-01,161
OFF001,user094,ME001,2023-06-01,241
OFF001,user095,ME001,2023-06-01,87
